"","variance","skewness","curtosis","entropy","class"
"104",4.6689,1.3098,0.055404,1.909,"authentic"
"105",3.4663,1.1112,1.7425,1.3388,"authentic"
"106",3.2697,-4.3414,3.6884,-0.29829,"authentic"
"107",2.0139,6.1416,0.37929,0.56938,"authentic"
"108",0.4339,5.5395,2.033,-0.40432,"authentic"
"109",-1.0401,9.3987,0.85998,-5.3336,"authentic"
"110",4.1605,11.2196,-3.6136,-4.0819,"authentic"
"111",5.032,8.2026,-2.6256,-1.0341,"authentic"
"112",-0.2062,9.2207,-3.7044,-6.8103,"authentic"
"113",2.0911,0.94358,4.5512,1.234,"authentic"
"114",1.7317,-0.34765,4.1905,-0.99138,"authentic"
"115",4.1736,3.3336,-1.4244,0.60429,"authentic"
"116",3.9232,-3.2467,3.4579,0.83705,"authentic"
"117",0.5195,-3.2633,3.0895,-0.9849,"authentic"
"118",3.8584,0.78425,1.1033,1.7008,"authentic"
"119",1.7496,-0.1759,5.1827,1.2922,"authentic"
"120",3.6277,0.9829,0.68861,0.63403,"authentic"
"121",2.7391,7.4018,0.071684,-2.5302,"authentic"
"122",-1.7599,11.9211,2.6756,-3.3241,"authentic"
"123",5.0691,0.21313,0.20278,1.2095,"authentic"
"124",3.4591,11.112,-4.2039,-5.0931,"authentic"
"125",1.9358,8.1654,-0.023425,-2.2586,"authentic"
"126",2.486,-0.99533,5.3404,-0.15475,"authentic"
"127",2.4226,-4.5752,5.947,0.21507,"authentic"
"128",3.9479,-3.7723,2.883,0.019813,"authentic"
"129",2.2634,-4.4862,3.6558,-0.61251,"authentic"
"130",1.3566,4.2358,2.1341,0.3211,"authentic"
"131",5.0452,3.8964,-1.4304,0.86291,"authentic"
"132",3.5499,8.6165,-3.2794,-1.2009,"authentic"
"133",0.17346,7.8695,0.26876,-3.7883,"authentic"
"134",2.4008,9.3593,-3.3565,-3.3526,"authentic"
"135",4.8851,1.5995,-0.00029081,1.6401,"authentic"
"136",4.1927,-3.2674,2.5839,0.21766,"authentic"
"137",1.1166,8.6496,-0.96252,-1.8112,"authentic"
"138",1.0235,6.901,-2.0062,-2.7125,"authentic"
"139",-1.803,11.8818,2.0458,-5.2728,"authentic"
"140",0.11739,6.2761,-1.5495,-2.4746,"authentic"
"141",0.5706,-0.0248,1.2421,-0.5621,"authentic"
"142",4.0552,-2.4583,2.2806,1.0323,"authentic"
"143",-1.1193,10.7271,2.0938,-5.6504,"authentic"
"144",1.8799,2.4707,2.4931,0.37671,"authentic"
"145",3.583,-3.7971,3.4391,-0.12501,"authentic"
"146",0.19081,9.1297,-3.725,-5.8224,"authentic"
"147",3.6582,5.6864,-1.7157,-0.23751,"authentic"
"148",2.3925,9.798,-3.0361,-2.8224,"authentic"
"149",-0.11783,-1.5789,8.03,-0.028031,"authentic"
"150",-0.69572,8.6165,1.8419,-4.3289,"authentic"
"151",2.9421,7.4101,-0.97709,-0.88406,"authentic"
"152",-1.7559,11.9459,3.0946,-4.8978,"authentic"
"153",-1.2537,10.8803,1.931,-4.3237,"authentic"
"154",3.2585,-4.4614,3.8024,-0.15087,"authentic"
"155",1.8314,6.3672,-0.036278,0.049554,"authentic"
"156",0.9297,-3.7971,4.6429,-0.2957,"authentic"
"157",3.9663,10.1684,-4.1131,-4.6056,"authentic"
"158",4.8272,3.0687,0.68604,0.80731,"authentic"
"159",-1.8584,7.886,-1.6643,-1.8384,"authentic"
"160",4.1454,7.257,-1.9153,-0.86078,"authentic"
"161",1.9157,6.0816,0.23705,-2.0116,"authentic"
"162",4.0215,-2.1914,2.4648,1.1409,"authentic"
"163",5.8862,5.8747,-2.8167,-0.30087,"authentic"
"164",-2.0897,10.8265,2.3603,-3.4198,"authentic"
"165",-0.78689,9.5663,-3.7867,-7.5034,"authentic"
"166",4.1757,10.2615,-3.8552,-4.3056,"authentic"
"167",0.83292,7.5404,0.65005,-0.92544,"authentic"
"168",5.3063,5.2684,-2.8904,-0.52716,"authentic"
"169",2.5605,9.2683,-3.5913,-1.356,"authentic"
"170",2.1059,7.6046,-0.47755,-1.8461,"authentic"
"171",2.1721,-0.73874,5.4672,-0.72371,"authentic"
"172",4.2899,9.1814,-4.6067,-4.3263,"authentic"
"173",3.5156,10.1891,-4.2759,-4.978,"authentic"
"174",2.614,8.0081,-3.7258,-1.3069,"authentic"
"175",0.68087,2.3259,4.9085,0.54998,"authentic"
"176",4.1962,0.74493,0.83256,0.753,"authentic"
"177",6.0919,2.9673,-1.3267,1.4551,"authentic"
"178",1.3234,3.2964,0.2362,-0.11984,"authentic"
"179",1.3264,1.0326,5.6566,-0.41337,"authentic"
"180",-2.2261,12.5398,2.9438,-3.5258,"authentic"
"181",1.0987,0.6394,5.989,-0.58277,"authentic"
"182",4.6464,10.5326,-4.5852,-4.206,"authentic"
"183",-0.36038,4.1158,3.1143,-0.37199,"authentic"
"184",1.3562,3.2136,4.3465,0.78662,"authentic"
"185",0.5706,-0.0248,1.2421,-0.5621,"authentic"
"186",-2.6479,10.1374,-1.331,-5.4707,"authentic"
"187",3.1219,-3.137,1.9259,-0.37458,"authentic"
"188",-1.3389,1.552,7.0806,1.031,"authentic"
"189",-2.3361,11.9604,3.0835,-5.4435,"authentic"
"190",2.2596,-0.033118,4.7355,-0.2776,"authentic"
"191",0.46901,-0.63321,7.3848,0.36507,"authentic"
"192",2.7296,2.8701,0.51124,0.5099,"authentic"
"193",2.0466,2.03,2.1761,-0.083634,"authentic"
"194",-1.3274,9.498,2.4408,-5.2689,"authentic"
"195",3.9994,0.90427,1.1693,1.6892,"authentic"
"196",3.2704,6.9321,-1.0456,0.23447,"authentic"
"197",-1.3931,1.5664,7.5382,0.78403,"authentic"
"198",1.6406,3.5488,1.3964,-0.36424,"authentic"
"199",2.7744,6.8576,-1.0671,0.075416,"authentic"
"200",2.4287,9.3821,-3.2477,-1.4543,"authentic"
"201",4.2134,-2.806,2.0116,0.67412,"authentic"
"202",1.6472,0.48213,4.7449,1.225,"authentic"
"203",1.0135,8.4551,-1.672,-2.0815,"authentic"
"204",4.5691,-4.4552,3.1769,0.0042961,"authentic"
"205",0.57461,10.1105,-1.6917,-4.3922,"authentic"
"206",0.5734,9.1938,-0.9094,-1.872,"authentic"
"207",5.2868,3.257,-1.3721,1.1668,"authentic"
"208",4.0102,10.6568,-4.1388,-5.0646,"authentic"
"209",4.1425,-3.6792,3.8281,1.6297,"authentic"
"210",3.0934,-2.9177,2.2232,0.22283,"authentic"
"211",2.2034,5.9947,0.53009,0.84998,"authentic"
"212",3.744,0.79459,0.95851,1.0077,"authentic"
"213",1.8114,7.6067,-0.9788,-2.4668,"authentic"
"214",2.483,6.6155,-0.79287,-0.90863,"authentic"
"215",1.594,4.7055,1.3758,0.081882,"authentic"
"216",-0.016103,9.7484,0.15394,-1.6134,"authentic"
"217",3.8496,9.7939,-4.1508,-4.4582,"authentic"
"218",0.9297,-3.7971,4.6429,-0.2957,"authentic"
"219",4.9342,2.4107,-0.17594,1.6245,"authentic"
"220",5.3915,9.9946,-3.8081,-3.3642,"authentic"
"221",4.4072,-0.070365,2.0416,1.1319,"authentic"
"222",2.6946,6.7976,-0.40301,0.44912,"authentic"
"223",5.2756,0.13863,0.12138,1.1435,"authentic"
"224",3.4312,6.2637,-1.9513,-0.36165,"authentic"
"225",1.3638,-4.7759,8.4182,-1.8836,"authentic"
"226",0.89566,7.7763,-2.7473,-1.9353,"authentic"
"227",1.9265,7.7557,-0.16823,-3.0771,"authentic"
"228",0.20977,-0.46146,7.7267,0.90946,"authentic"
"229",4.068,-2.9363,2.1992,0.50084,"authentic"
"230",2.877,-4.0599,3.6259,-0.32544,"authentic"
"231",0.3223,-0.89808,8.0883,0.69222,"authentic"
"232",-1.3,10.2678,-2.953,-5.8638,"authentic"
"233",1.7747,-6.4334,8.15,-0.89828,"authentic"
"234",1.3419,-4.4221,8.09,-1.7349,"authentic"
"235",0.89606,10.5471,-1.4175,-4.0327,"authentic"
"236",0.44125,2.9487,4.3225,0.7155,"authentic"
"237",3.2422,6.2265,0.12224,-1.4466,"authentic"
"238",2.5678,3.5136,0.61406,-0.40691,"authentic"
"239",-2.2153,11.9625,0.078538,-7.7853,"authentic"
"240",4.1349,6.1189,-2.4294,-0.19613,"authentic"
"241",2.5068,1.1588,3.9249,0.12585,"authentic"
"242",1.2706,8.035,-0.19651,-2.1888,"authentic"
"243",1.143,0.83391,5.4552,-0.56984,"authentic"
"244",2.2928,9.0386,-3.2417,-1.2991,"authentic"
"245",0.3292,-4.4552,4.5718,-0.9888,"authentic"
"246",2.9719,6.8369,-0.2702,0.71291,"authentic"
"247",1.6849,8.7489,-1.2641,-1.3858,"authentic"
"248",-1.9177,11.6894,2.5454,-3.2763,"authentic"
"249",2.3729,10.4726,-3.0087,-3.2013,"authentic"
"250",1.0284,9.767,-1.3687,-1.7853,"authentic"
"251",0.27451,9.2186,-3.2863,-4.8448,"authentic"
"252",1.6032,-4.7863,8.5193,-2.1203,"authentic"
"253",4.616,10.1788,-4.2185,-4.4245,"authentic"
"254",4.2478,7.6956,-2.7696,-1.0767,"authentic"
"255",4.0215,-2.7004,2.4957,0.36636,"authentic"
"256",5.0297,-4.9704,3.5025,-0.23751,"authentic"
"257",1.5902,2.2948,3.2403,0.18404,"authentic"
"258",2.1274,5.1939,-1.7971,-1.1763,"authentic"
"259",1.1811,8.3847,-2.0567,-0.90345,"authentic"
"260",2.6718,5.6574,0.72974,-1.4892,"authentic"
"261",1.5799,-4.7076,7.9186,-1.5487,"authentic"
"262",3.7352,9.5911,-3.9032,-3.3487,"authentic"
"263",-1.7344,2.0175,7.7618,0.93532,"authentic"
"264",3.884,10.0277,-3.9298,-4.0819,"authentic"
"265",3.5257,1.2829,1.9276,1.7991,"authentic"
"266",4.4549,2.4976,1.0313,0.96894,"authentic"
"267",4.2164,9.4607,-4.9288,-5.2366,"authentic"
"268",3.5152,6.8224,-0.67377,-0.46898,"authentic"
"269",1.0607,2.4542,2.5188,-0.17027,"authentic"
"270",2.0421,1.2436,4.2171,0.90429,"authentic"
"271",3.5594,1.3078,1.291,1.6556,"authentic"
"272",3.9294,1.4112,1.8076,0.89782,"authentic"
"273",3.4667,-4.0724,4.2882,1.5418,"authentic"
"274",3.966,3.9213,0.70574,0.33662,"authentic"
"275",1.0191,2.33,4.9334,0.82929,"authentic"
"276",0.96414,5.616,2.2138,-0.12501,"authentic"
"277",4.9923,7.8653,-2.3515,-0.71984,"authentic"
"278",-1.1804,11.5093,0.15565,-6.8194,"authentic"
"279",4.0329,0.23175,0.89082,1.1823,"authentic"
"280",0.66018,10.3878,-1.4029,-3.9151,"authentic"
"281",3.5982,7.1307,-1.3035,0.21248,"authentic"
"282",-1.8584,7.886,-1.6643,-1.8384,"authentic"
"283",3.3299,0.91254,1.5806,0.39352,"authentic"
"284",3.1088,3.1122,0.80857,0.4336,"authentic"
"285",-4.2859,8.5234,3.1392,-0.91639,"authentic"
"286",-1.2528,10.2036,2.1787,-5.6038,"authentic"
"287",0.3292,-4.4552,4.5718,-0.9888,"authentic"
"288",0.88872,5.3449,2.045,-0.19355,"authentic"
"289",3.5458,9.3718,-4.0351,-3.9564,"authentic"
"290",2.7206,9.0821,-3.3111,-0.96811,"authentic"
"291",3.2051,8.6889,-2.9033,-0.7819,"authentic"
"292",2.6917,10.8161,-3.3,-4.2888,"authentic"
"293",2.7161,-4.2006,4.1914,0.16981,"authentic"
"294",3.3848,3.2674,0.90967,0.25128,"authentic"
"295",2.805,0.57732,1.3424,1.2133,"authentic"
"296",5.7823,5.5788,-2.4089,-0.056479,"authentic"
"297",3.8999,1.734,1.6011,0.96765,"authentic"
"298",3.5189,6.332,-1.7791,-0.020273,"authentic"
"299",3.2294,7.7391,-0.37816,-2.5405,"authentic"
"300",3.4985,3.1639,0.22677,-0.1651,"authentic"
"301",2.1948,1.3781,1.1582,0.85774,"authentic"
"302",2.2526,9.9636,-3.1749,-2.9944,"authentic"
"303",4.1529,-3.9358,2.8633,-0.017686,"authentic"
"304",1.9105,8.871,-2.3386,-0.75604,"authentic"
"305",-1.5055,0.070346,6.8681,-0.50648,"authentic"
"306",3.2303,7.8384,-3.5348,-1.2151,"authentic"
"307",-1.9922,11.6542,2.6542,-5.2107,"authentic"
"308",2.8523,9.0096,-3.761,-3.3371,"authentic"
"309",1.5099,0.039307,6.2332,-0.30346,"authentic"
"310",5.4188,10.1457,-4.084,-3.6991,"authentic"
"311",0.86202,2.6963,4.2908,0.54739,"authentic"
"312",3.8117,10.1457,-4.0463,-4.5629,"authentic"
"313",0.54777,10.3754,-1.5435,-4.1633,"authentic"
"314",-2.4953,11.1472,1.9353,-3.4638,"authentic"
"315",4.6361,-2.6611,2.8358,1.1991,"authentic"
"316",-2.2527,11.5321,2.5899,-3.2737,"authentic"
"317",3.7982,10.423,-4.1602,-4.9728,"authentic"
"318",2.1265,6.8783,0.44784,-2.2224,"authentic"
"319",0.86736,5.5643,1.6765,-0.16769,"authentic"
"320",3.7831,10.0526,-3.8869,-3.7366,"authentic"
"321",-2.2623,12.1177,0.28846,-7.7581,"authentic"
"322",1.2616,4.4303,-1.3335,-1.7517,"authentic"
"323",2.6799,3.1349,0.34073,0.58489,"authentic"
"324",-0.39816,5.9781,1.3912,-1.1621,"authentic"
"325",4.3937,0.35798,2.0416,1.2004,"authentic"
"326",2.2123,-5.8395,7.7687,-0.85302,"authentic"
"327",3.0864,-2.5845,2.2309,0.30947,"authentic"
"328",0.3798,0.7098,0.7572,-0.4444,"authentic"
"329",0.58982,7.4266,1.2353,-2.9595,"authentic"
"330",0.14783,7.946,1.0742,-3.3409,"authentic"
"331",-0.062025,6.1975,1.099,-1.131,"authentic"
"332",4.223,1.1319,0.72202,0.96118,"authentic"
"333",0.64295,7.1018,0.3493,-0.41337,"authentic"
"334",1.941,0.46351,4.6472,1.0879,"authentic"
"335",3.7767,9.7794,-3.9075,-3.5323,"authentic"
"336",3.4769,-0.15314,2.53,2.4495,"authentic"
"337",1.9818,9.2621,-3.521,-1.872,"authentic"
"338",3.8023,-3.8696,4.044,0.95343,"authentic"
"339",1.1518,1.3864,5.2727,-0.43536,"authentic"
"340",-1.2576,1.5892,7.0078,0.42455,"authentic"
"341",1.9572,-5.1153,8.6127,-1.4297,"authentic"
"342",-2.484,12.1611,2.8204,-3.7418,"authentic"
"343",-1.1497,1.2954,7.701,0.62627,"authentic"
"344",4.8368,10.0132,-4.3239,-4.3276,"authentic"
"345",-0.12196,8.8068,0.94566,-4.2267,"authentic"
"346",1.742,-4.809,8.2142,-2.0659,"authentic"
"347",-1.5222,10.8409,2.7827,-4.0974,"authentic"
"348",-1.3,10.2678,-2.953,-5.8638,"authentic"
"349",3.4246,-0.14693,0.80342,0.29136,"authentic"
"350",1.3087,4.9228,2.0013,0.22024,"authentic"
"351",5.1776,8.2316,-3.2511,-1.5694,"authentic"
"352",5.6272,10.0857,-4.2931,-3.8142,"authentic"
"353",1.2138,8.7986,-2.1672,-0.74182,"authentic"
"354",0.3798,0.7098,0.7572,-0.4444,"authentic"
"355",0.5415,6.0319,1.6825,-0.46122,"authentic"
"356",4.0524,5.6802,-1.9693,0.026279,"authentic"
"357",4.7285,2.1065,-0.28305,1.5625,"authentic"
"358",3.4359,0.66216,2.1041,1.8922,"authentic"
"359",0.86816,10.2429,-1.4912,-4.0082,"authentic"
"360",3.359,9.8022,-3.8209,-3.7133,"authentic"
"361",3.6702,2.9942,0.85141,0.30688,"authentic"
"362",3.1887,-3.4143,2.7742,-0.2026,"authentic"
"363",2.4527,2.9653,0.20021,-0.056479,"authentic"
"364",3.9121,2.9735,0.92852,0.60558,"authentic"
"365",3.9364,10.5885,-3.725,-4.3133,"authentic"
"366",3.9414,-3.2902,3.1674,1.0866,"authentic"
"367",3.6922,-3.9585,4.3439,1.3517,"authentic"
"368",5.681,7.795,-2.6848,-0.92544,"authentic"
"369",0.77124,9.0862,-1.2281,-1.4996,"authentic"
"370",3.5761,9.7753,-3.9795,-3.4638,"authentic"
"371",1.602,6.1251,0.52924,0.47886,"authentic"
"372",0.64215,3.1287,4.2933,0.64696,"authentic"
"373",4.3848,-3.0729,3.0423,1.2741,"authentic"
"374",0.77445,9.0552,-2.4089,-1.3884,"authentic"
"375",3.0948,8.7324,-2.9007,-0.96682,"authentic"
"376",4.9362,7.6046,-2.3429,-0.85302,"authentic"
"377",-1.9458,11.2217,1.9079,-3.4405,"authentic"
"378",5.7403,-0.44284,0.38015,1.3763,"authentic"
"379",-2.6989,12.1984,0.67661,-8.5482,"authentic"
"380",1.1472,3.5985,1.9387,-0.43406,"authentic"
"381",2.9742,8.96,-2.9024,-1.0379,"authentic"
"382",4.5707,7.2094,-3.2794,-1.4944,"authentic"
"383",0.87256,9.2931,-0.7843,-2.1978,"authentic"
"384",3.8384,6.1851,-2.0439,-0.033204,"authentic"
"385",2.8209,7.3108,-0.81857,-1.8784,"authentic"
"386",2.5817,9.7546,-3.1749,-2.9957,"authentic"
"387",3.8213,0.23175,2.0133,2.0564,"authentic"
"388",0.3798,0.7098,0.7572,-0.4444,"authentic"
"389",3.4893,6.69,-1.2042,-0.38751,"authentic"
"390",-1.7781,0.8546,7.1303,0.027572,"authentic"
"391",2.0962,2.4769,1.9379,-0.040962,"authentic"
"392",0.94732,-0.57113,7.1903,-0.67587,"authentic"
"393",0.0071249,8.3661,0.50781,-3.8155,"authentic"
"394",0.96788,7.1907,1.2798,-2.4565,"authentic"
"395",3.6575,7.2797,-2.2692,-1.144,"authentic"
"396",3.8832,6.4023,-2.432,-0.98363,"authentic"
"397",3.4776,8.811,-3.1886,-0.92285,"authentic"
"398",1.1315,7.9212,1.093,-2.8444,"authentic"
"399",3.0632,-3.3315,5.1305,0.8267,"authentic"
"400",-1.8411,10.8306,2.769,-3.0901,"authentic"
"401",2.8084,11.3045,-3.3394,-4.4194,"authentic"
"402",2.5698,-4.4076,5.9856,0.078002,"authentic"
"403",3.3756,-4.0951,4.367,1.0698,"authentic"
"404",-0.048008,-1.6037,8.4756,0.75558,"authentic"
"405",0.5706,-0.0248,1.2421,-0.5621,"authentic"
"406",0.88444,6.5906,0.55837,-0.44182,"authentic"
"407",3.8644,3.7061,0.70403,0.35214,"authentic"
"408",1.2999,2.5762,2.0107,-0.18967,"authentic"
"409",2.0051,-6.8638,8.132,-0.2401,"authentic"
"410",4.9294,0.27727,0.20792,0.33662,"authentic"
"411",2.8297,6.3485,-0.73546,-0.58665,"authentic"
"412",2.565,8.633,-2.9941,-1.3082,"authentic"
"413",2.093,8.3061,0.022844,-3.2724,"authentic"
"414",4.6014,5.6264,-2.1235,0.19309,"authentic"
"415",-0.2951,9.0489,-0.52725,-2.0789,"authentic"
"416",3.577,2.4004,1.8908,0.73231,"authentic"
"417",3.9433,2.5017,1.5215,0.903,"authentic"
"418",5.9374,6.1664,-2.5905,-0.36553,"authentic"
"419",2.0153,1.8479,3.1375,0.42843,"authentic"
"420",5.8782,5.9409,-2.8544,-0.60863,"authentic"
"421",-2.3983,12.606,2.9464,-5.7888,"authentic"
"422",1.762,4.3682,2.1384,0.75429,"authentic"
"423",4.2406,-2.4852,1.608,0.7155,"authentic"
"424",3.1896,5.7526,-0.18537,-0.30087,"authentic"
"425",0.81356,9.1566,-2.1492,-4.1814,"authentic"
"426",0.52855,0.96427,4.0243,-1.0483,"authentic"
"427",2.1319,-2.0403,2.5574,-0.061652,"authentic"
"428",0.33111,4.5731,2.057,-0.18967,"authentic"
"429",1.2746,8.8172,-1.5323,-1.7957,"authentic"
"430",2.5328,7.528,-0.41929,-2.6478,"authentic"
"431",-1.3885,12.5026,0.69118,-7.5487,"authentic"
"432",3.3583,10.3567,-3.7301,-3.6991,"authentic"
"433",2.5227,2.2369,2.7236,0.79438,"authentic"
"434",4.8278,7.7598,-2.4491,-1.2216,"authentic"
"435",1.9476,-4.7738,8.527,-1.8668,"authentic"
"436",2.7659,0.66216,4.1494,-0.28406,"authentic"
"437",0.72252,-0.053811,5.6703,-1.3509,"authentic"
"438",4.2475,1.4816,-0.48355,0.95343,"authentic"
"439",3.6667,4.302,0.55923,0.33791,"authentic"
"440",-1.4217,11.6542,-0.057699,-7.1025,"authentic"
"441",4.2458,1.1981,0.66633,0.94696,"authentic"
"442",1.4507,8.7903,-2.2324,-0.65259,"authentic"
"443",3.5288,0.71596,1.9507,1.9375,"authentic"
"444",3.9719,1.0367,0.75973,1.0013,"authentic"
"445",3.534,9.3614,-3.6316,-1.2461,"authentic"
"446",3.6894,9.887,-4.0788,-4.3664,"authentic"
"447",2.6463,-4.8152,6.3549,0.003003,"authentic"
"448",2.2893,3.733,0.6312,-0.39786,"authentic"
"449",1.5673,7.9274,-0.056842,-2.1694,"authentic"
"450",4.0405,0.51524,1.0279,1.106,"authentic"
"451",4.3846,-4.8794,3.3662,-0.029324,"authentic"
"452",2.0165,-0.25246,5.1707,1.0763,"authentic"
"453",4.0446,11.1741,-4.3582,-4.7401,"authentic"
"454",-2.4604,12.7302,0.91738,-7.6418,"authentic"
"455",4.1195,10.9258,-3.8929,-4.1802,"authentic"
"456",2.0193,0.82356,4.6369,1.4202,"authentic"
"457",1.5701,7.9129,0.29018,-2.1953,"authentic"
"458",2.6415,7.586,-0.28562,-1.6677,"authentic"
"459",4.3435,3.3295,0.83598,0.64955,"authentic"
"460",3.9382,0.9291,0.78543,0.6767,"authentic"
"461",5.504,10.3671,-4.413,-4.0211,"authentic"
"462",2.8521,9.171,-3.6461,-1.2047,"authentic"
"463",2.6104,8.0081,-0.23592,-1.7608,"authentic"
